2018-05-17 12:53:47,675 [Worker-7] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-17 12:55:55,147 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-05-17 12:55:56,604 [Worker-14] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ar.edu.utn.frre.tpidacs:tpidacs:1.0-SNAPSHOT @ /home/wenceslao1207/Documents/mvn/tpidacs/pom.xml.
2018-05-17 12:55:57,239 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tpidacs/src/main/java
2018-05-17 12:55:57,280 [Worker-14] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /tpidacs/src/test/java
2018-05-17 12:55:57,921 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 12:55:57,927 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 12:55:57,933 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 12:55:57,934 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 12:55:58,347 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 12:55:58,347 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/main/resources
2018-05-17 12:55:58,349 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-17 12:55:58,350 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/wenceslao1207/Documents/mvn/tpidacs/src/test/resources
2018-05-17 12:55:58,526 [Worker-14] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2018-05-17 12:55:59,039 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
